sampleid,effluent,type,wk,pt
ESF21MP12,FB,FB MP,wk0,Glass
ESF21MP4,FB,FB MP,wk0,Glass
ESF21MP6,FB,FB MP,wk0,Glass
ESF21MP30,CON,River MP,wk02,Glass
ESF21MP52,CON,River MP,wk02,Glass
ESF21MP54,CON,River MP,wk02,Glass
ESF21MP55,CON,River MP,wk02,Glass
ESF21MP87,CON,River MP,wk02,Glass
ESF21MP13,TWW,Wastewater MP,wk02,Glass
ESF21MP21,TWW,Wastewater MP,wk02,Glass
ESF21MP44,TWW,Wastewater MP,wk02,Glass
ESF21MP48,TWW,Wastewater MP,wk02,Glass
ESF21MP67,CON,River MP,wk06,Glass
ESF21MP72,CON,River MP,wk06,Glass
ESF21MP95,CON,River MP,wk06,Glass
ESF21MP61,TWW,Wastewater MP,wk06,Glass
ESF21MP64,TWW,Wastewater MP,wk06,Glass
ESF21MP65,TWW,Wastewater MP,wk06,Glass
ESF21MP69,TWW,Wastewater MP,wk06,Glass
ESF21MP112,CON,River MP,wk10,Glass
ESF21MP117,CON,River MP,wk10,Glass
ESF21MP120,CON,River MP,wk10,Glass
ESF21MP124,CON,River MP,wk10,Glass
ESF21MP115,TWW,Wastewater MP,wk10,Glass
ESF21MP128,TWW,Wastewater MP,wk10,Glass
ESF21MP133,TWW,Wastewater MP,wk10,Glass
ESF21MP134,TWW,Wastewater MP,wk10,Glass
ESF21MP1,FB,FB MP,wk0,HDPE
ESF21MP5,FB,FB MP,wk0,HDPE
ESF21MP7,FB,FB MP,wk0,HDPE
ESF21MP33,CON,River MP,wk02,HDPE
ESF21MP34,CON,River MP,wk02,HDPE
ESF21MP46,CON,River MP,wk02,HDPE
ESF21MP51,CON,River MP,wk02,HDPE
ESF21MP18,TWW,Wastewater MP,wk02,HDPE
ESF21MP27,TWW,Wastewater MP,wk02,HDPE
ESF21MP38,TWW,Wastewater MP,wk02,HDPE
ESF21MP50,TWW,Wastewater MP,wk02,HDPE
ESF21MP58,CON,River MP,wk06,HDPE
ESF21MP66,CON,River MP,wk06,HDPE
ESF21MP79,CON,River MP,wk06,HDPE
ESF21MP89,CON,River MP,wk06,HDPE
ESF21MP74,TWW,Wastewater MP,wk06,HDPE
ESF21MP83,TWW,Wastewater MP,wk06,HDPE
ESF21MP86,TWW,Wastewater MP,wk06,HDPE
ESF21MP88,TWW,Wastewater MP,wk06,HDPE
ESF21MP100,CON,River MP,wk10,HDPE
ESF21MP111,CON,River MP,wk10,HDPE
ESF21MP119,CON,River MP,wk10,HDPE
ESF21MP121,CON,River MP,wk10,HDPE
ESF21MP101,TWW,Wastewater MP,wk10,HDPE
