otu_id	ESF21MP100	ESF21MP101	ESF21MP102	ESF21MP103	ESF21MP104	ESF21MP105	ESF21MP106	ESF21MP107	ESF21MP108	ESF21MP109	ESF21MP110	ESF21MP111	ESF21MP112	ESF21MP113	ESF21MP114	ESF21MP115	ESF21MP116	ESF21MP117	ESF21MP118	ESF21MP119	ESF21MP120	ESF21MP121	ESF21MP122	ESF21MP123	ESF21MP124	ESF21MP125	ESF21MP126	ESF21MP127	ESF21MP128	ESF21MP129	ESF21MP130	ESF21MP131	ESF21MP132	ESF21MP133	ESF21MP134	ESF21MP135	ESF21MP13	ESF21MP14	ESF21MP15	ESF21MP16	ESF21MP17	ESF21MP18	ESF21MP19	ESF21MP20	ESF21MP21	ESF21MP22	ESF21MP23	ESF21MP24	ESF21MP25	ESF21MP26	ESF21MP27	ESF21MP28	ESF21MP29	ESF21MP30	ESF21MP31	ESF21MP33	ESF21MP34	ESF21MP35	ESF21MP36	ESF21MP37	ESF21MP38	ESF21MP40	ESF21MP41	ESF21MP42	ESF21MP43	ESF21MP44	ESF21MP46	ESF21MP47	ESF21MP48	ESF21MP49	ESF21MP50	ESF21MP510	ESF21MP5110	ESF21MP512	ESF21MP516	ESF21MP51	ESF21MP520	ESF21MP5210	ESF21MP522	ESF21MP526	ESF21MP52	ESF21MP53	ESF21MP54	ESF21MP55	ESF21MP56	ESF21MP57	ESF21MP58	ESF21MP59	ESF21MP60	ESF21MP610	ESF21MP6110	ESF21MP612	ESF21MP616	ESF21MP61	ESF21MP620	ESF21MP6210	ESF21MP622	ESF21MP626	ESF21MP62	ESF21MP63	ESF21MP64	ESF21MP65	ESF21MP66	ESF21MP67	ESF21MP68	ESF21MP69	ESF21MP70	ESF21MP710	ESF21MP7110	ESF21MP712	ESF21MP716	ESF21MP71	ESF21MP720	ESF21MP7210	ESF21MP722	ESF21MP726	ESF21MP72	ESF21MP73	ESF21MP74	ESF21MP75	ESF21MP76	ESF21MP77	ESF21MP78	ESF21MP79	ESF21MP80	ESF21MP810	ESF21MP8110	ESF21MP812	ESF21MP816	ESF21MP81	ESF21MP820	ESF21MP8210	ESF21MP822	ESF21MP826	ESF21MP82	ESF21MP83	ESF21MP84	ESF21MP86	ESF21MP87	ESF21MP88	ESF21MP89	ESF21MP90	ESF21MP91	ESF21MP92	ESF21MP93	ESF21MP94	ESF21MP95	ESF21MP96	ESF21MP97	ESF21MP98	ESF21MP99
OTU2	38	2	4	327	4	169	3	11	4	11	141	4	14	14	1	9	15	63	4	5	21	5	40	16	17	6	35	3	243	0	8	6	6	25	68	12	11656	18544	27581	411	30747	10020	28883	38455	9654	675	992	19695	13602	17706	17190	21031	845	5865	679	122	2074	11437	1231	1772	9604	129	338	11039	1577	11976	16056	10924	18039	11118	16463	1796	43	1054	178	25580	2567	17	889	147	3964	14653	8851	9708	687	163	185	195	121	1279	104	837	194	546	1070	76	510	246	15	23	15	51	252	28	173	249	790	1708	61	896	285	324	1065	11	1132	361	214	406	122	262	38	206	755	65	1159	1461	45	898	161	233	1484	40	600	141	14	41	8	12	37	322	246	38	36	35	450	38	221	49	5	15	7
OTU1	31	83	159	245	32	201	723	66	185	848	346	158	2207	265	344	1615	63	123	68	69	99	59	319	54	130	273	466	658	148	134	833	92	1043	6245	2452	2247	322	1575	324	3961	861	643	1381	145	1408	3410	1775	87	337	1012	361	202	2226	3524	2290	976	1638	1707	720	1115	278	962	2095	1929	2966	776	1540	1002	1017	199	60	15	14607	22639	21763	3478	8	6896	45278	18043	2460	204	2066	621	618	126	462	876	273	3	964	25559	11410	330	6	1103	36825	4696	5489	1183	1134	2212	40	1070	380	732	677	11	5666	44057	8256	225	8	6697	11498	3636	198	204	419	127	152	1925	852	81	154	11	8764	8371	23735	12	2	6469	21056	5697	492	235	454	7434	3510	955	89	599	1505	660	852	5479	82	346	149	462	127
OTU11	3802	3931	2050	1715	3143	926	1318	1754	1626	1768	5880	4648	1258	3928	4302	810	4774	1832	3482	2054	3798	1603	2925	2879	1494	1585	2886	992	6140	2729	1162	1136	2168	829	1346	955	546	3415	1874	4284	1748	2778	1316	1622	1201	6472	5248	2070	1327	1994	934	2572	2007	2601	5884	8948	5141	1518	5687	4726	2254	3190	4179	558	3736	327	3282	3572	1805	1678	1118	190	465	643	1337	2562	159	444	505	316	1264	1701	1124	2888	2777	1772	1960	2318	2791	119	993	1260	565	1423	172	839	388	952	1971	1441	1563	1409	1334	3084	2229	784	587	119	716	1159	466	2359	78	312	1268	667	1879	2058	1799	5242	2597	1680	1199	4245	1806	280	831	809	1482	1065	284	597	642	1043	1848	3374	3064	1856	4338	1941	959	3872	2695	1933	1283	3449	1296	991	3285	1990	5190
OTU18	2650	4551	1852	3909	3463	1204	2085	1414	1541	2846	4855	2662	2296	1404	2875	1827	3375	2518	2968	2000	2830	1692	2772	1958	2365	2611	2349	3261	2831	1907	2258	1480	1811	1446	1925	1347	2825	1499	2149	810	3322	2777	2645	912	1947	1098	1427	1092	1739	1465	1197	1613	1277	4114	1825	1310	2310	1867	965	2167	1368	1350	1246	1206	2445	1221	2383	2883	6153	1379	2789	228	903	233	348	6993	126	1086	157	222	2917	3938	3390	8101	2570	2891	3324	3560	2582	113	383	229	248	948	208	562	137	270	1788	1631	1157	1193	2292	1594	1532	977	3386	101	991	362	391	4431	133	767	945	465	1601	1308	7123	3234	1878	2736	4405	3000	2452	444	559	196	283	1239	427	432	133	350	1938	1712	2048	1305	2241	2578	3155	4830	1390	2759	2744	2595	4155	2290	2069	1644	2774
OTU4	105	34	43	476	24	215	39	37	37	31	199	84	23	51	81	20	29	245	105	43	78	12	264	50	27	47	238	21	438	12	17	22	21	18	39	24	289	14748	7581	1585	4773	13028	2932	9933	446	4361	3462	18257	15464	3642	2130	7689	467	787	2245	2572	3262	1948	6228	1551	25120	697	528	21932	1065	1072	6593	9004	3352	6413	15716	7	40	140	52	18362	14	37	106	28	1423	6994	1387	7579	794	666	1162	697	3191	5	91	137	26	856	6	78	94	25	86	70	50	26	673	50	152	196	1119	5	95	101	35	2483	4	16	140	67	498	405	1808	1868	111	491	580	1281	351	4	232	171	61	3843	5	204	88	56	55	84	33	32	67	118	874	529	40	115	381	244	589	115	107	30	60
OTU10	3998	3702	2005	1444	6282	1286	1616	1965	2564	5744	2522	2760	3185	1639	3370	1562	5470	2432	2166	2355	3473	3662	2277	2085	4565	5752	3111	4481	2133	3573	2471	3120	2003	1598	1472	1909	370	481	172	3982	109	560	173	35	704	1061	3171	61	1	653	262	338	2956	1471	1870	1441	1353	1283	3004	1261	575	1014	3788	120	3003	104	724	338	23	227	320	44	1556	346	237	479	64	1535	123	188	246	173	1	407	761	779	1437	987	870	27	709	169	229	145	34	768	471	243	2093	1470	1917	1692	1053	1349	1423	391	232	38	793	148	147	1379	30	1099	136	280	378	654	1543	2325	2259	1769	614	1321	472	24	572	280	309	252	39	299	69	162	1261	1291	1330	1061	2130	972	352	2437	1331	1455	156	2199	267	1140	2619	2735	2727
OTU5	348	1028	228	278	275	138	175	312	144	278	1352	346	416	921	298	544	816	169	342	280	389	197	381	503	217	204	482	299	832	234	270	257	205	221	290	156	424	3885	1377	3409	1563	4307	1191	2735	517	8500	5942	7137	8248	1365	1247	2797	866	2837	3549	6269	4854	935	2609	2215	2810	2727	912	9884	1631	107	1873	3744	2863	12072	17344	114	91	141	163	14030	99	116	160	98	1801	3186	2470	1372	428	393	304	283	1109	93	159	126	141	130	73	118	90	140	240	532	1133	189	240	408	312	50	209	85	164	126	160	568	84	69	188	202	202	232	1111	958	361	342	159	707	403	114	177	193	219	583	80	168	56	146	226	675	224	252	388	143	287	638	196	122	210	383	371	160	255	414	525
OTU3	145	79	3689	89	1036	94	361	52	3424	1948	683	258	2145	151	907	43	229	268	1133	1166	53	1841	216	132	808	2266	98	36	64	137	79	43	90	26	35	90	74	10	2	240	0	1	20	1	25	14	64	2	0	30	4	0	123	7	18	5	8	17	624	16	93	20	694	0	144	61	1	2	1	0	3	2	50	23	95	8	2	97	7	62	2	2	1071	10	58	1999	2964	3932	74	1	8	1	2870	126	2	63	26	396	1042	756	51	1074	2329	9860	1145	4	312	1	186	1	744	3386	3	753	1	10095	4092	809	72	5877	4073	219	109	3372	132	3	239	45	279	403	3	132	9	3084	7979	2060	4458	87	31276	168	420	84	2609	2058	7	395	438	7	45	59	261
OTU16	263	229	165	508	283	213	126	179	174	413	468	188	541	387	333	300	339	382	357	143	289	188	215	349	243	271	249	154	728	162	160	183	344	306	844	423	1291	1876	1399	1488	2033	2774	2464	2427	1590	876	741	831	396	1408	352	1106	471	1951	2645	1329	2632	892	3040	814	1821	977	2705	250	1603	2549	1220	2357	2112	882	1787	2683	453	908	926	3128	3399	340	944	748	1876	823	8425	2309	721	669	394	651	260	2394	887	1458	1286	1441	2153	855	445	704	614	229	300	164	225	212	254	681	511	2478	598	1249	1496	626	1993	191	1275	1757	423	261	654	422	144	1225	534	306	277	2456	650	1248	1016	516	2353	611	645	1224	136	324	211	573	295	407	243	513	202	334	395	849	240	242	424	270	243
OTU14	268	314	150	880	142	108	110	225	91	162	983	331	138	173	213	54	214	267	276	221	329	178	653	201	100	227	474	113	310	86	82	143	161	163	196	126	1337	1444	4470	481	3373	3152	3787	3037	487	695	839	1213	2341	1766	706	1847	666	1356	848	1035	1156	1483	514	1659	1703	915	578	997	1003	702	1158	4599	2427	2087	1400	65	159	134	63	5187	60	109	59	46	3468	3537	5540	10184	1664	1015	1506	1157	1847	41	82	285	61	495	88	65	87	74	215	264	158	76	1173	280	158	366	842	44	97	158	53	1910	39	43	355	99	786	299	2121	1471	566	910	1992	2438	1189	130	144	166	127	1700	125	135	113	103	217	381	328	273	263	1157	1401	2157	261	652	1108	647	1162	513	143	152	352
