sample_id	effluent	time	polymer_type	bead_diameter	channel	matrix						
ESF21MP100	CON	10	HDPE	3.175	7.1	MP						
ESF21MP101	TWW	10	HDPE	3.175	5.2	MP						
ESF21MP102	CON	10	LDPE	3.175	7.2	MP						
ESF21MP103	TWW	10	PP	3.175	5.2	MP						
ESF21MP104	CON	10	PP	3.175	7.2	MP						
ESF21MP105	TWW	10	HDPE	3.175	8.1	MP						
ESF21MP106	CON	10	LDPE	3.175	7.1	MP						
ESF21MP107	TWW	10	HDPE	3.175	5.1	MP						
ESF21MP108	CON	10	LDPE	3.175	8.2	MP						
ESF21MP109	CON	10	PP	3.175	8.2	MP						
ESF21MP110	TWW	10	HDPE	3.175	6.2	MP						
ESF21MP111	CON	10	HDPE	3.175	6.1	MP						
ESF21MP112	CON	10	Glass	3.175	8.2	MP						
ESF21MP113	TWW	10	LDPE	3.175	6.2	MP						
ESF21MP114	CON	10	PS	3.175	7.2	MP						
ESF21MP115	TWW	10	Glass	3.175	5.2	MP						
ESF21MP116	TWW	10	PP	3.175	6.2	MP						
ESF21MP117	CON	10	Glass	3.175	7.1	MP						
ESF21MP118	CON	10	PS	3.175	7.1	MP						
ESF21MP119	CON	10	HDPE	3.175	7.2	MP						
ESF21MP120	CON	10	Glass	3.175	6.1	MP						
ESF21MP121	CON	10	HDPE	3.175	8.2	MP						
ESF21MP122	CON	10	LDPE	3.175	6.1	MP						
ESF21MP123	TWW	10	PS	3.175	6.2	MP						
ESF21MP124	CON	10	Glass	3.175	7.2	MP						
ESF21MP125	CON	10	PS	3.175	8.2	MP						
ESF21MP126	TWW	10	PP	3.175	5.1	MP						
ESF21MP127	TWW	10	PS	3.175	5.2	MP						
ESF21MP128	TWW	10	Glass	3.175	6.2	MP						
ESF21MP129	CON	10	PP	3.175	6.1	MP						
ESF21MP13	TWW	2	Glass	3.175	5.1	MP						
ESF21MP130	TWW	10	LDPE	3.175	5.2	MP						
ESF21MP131	TWW	10	LDPE	3.175	5.1	MP						
ESF21MP132	TWW	10	PS	3.175	8.1	MP						
ESF21MP133	TWW	10	Glass	3.175	5.1	MP						
ESF21MP134	TWW	10	Glass	3.175	8.1	MP						
ESF21MP135	TWW	10	LDPE	3.175	8.1	MP						
ESF21MP14	CON	2	PP	3.175	8.2	MP						
ESF21MP15	CON	2	PS	3.175	7.2	MP						
ESF21MP16	TWW	2	LDPE	3.175	8.1	MP						
ESF21MP17	CON	2	PP	3.175	7.1	MP						
ESF21MP18	TWW	2	HDPE	3.175	6.2	MP						
ESF21MP19	CON	2	PP	3.175	7.2	MP						
ESF21MP20	CON	2	PS	3.175	8.2	MP						
ESF21MP21	TWW	2	Glass	3.175	6.2	MP						
ESF21MP22	TWW	2	PP	3.175	5.2	MP						
ESF21MP23	TWW	2	PP	3.175	5.1	MP						
ESF21MP24	CON	2	LDPE	3.175	7.1	MP						
ESF21MP25	CON	2	PP	3.175	6.1	MP						
ESF21MP26	TWW	2	PS	3.175	6.2	MP						
