"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl_ebi_ena";"lca_tax_gtdb";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"1069639";"1";"OTU3001";"None";"0.987954";"75";"0";"0";"98.75";"98";"13861";"22570";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;"
"1069639";"2";"OTU3002";"None";"0.978388";"75";"0";"0";"93.3333";"97";"13861";"22570";"533";"240";"240";"none";"unclassified sequences;metagenomes;";"Unclassified;";"Unclassified;";"Unclassified;";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Nordella;"
"1069639";"3";"OTU3003";"None";"0.980353";"69";"0";"0";"93.75";"98";"13861";"22570";"533";"240";"240";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;unclassified_Bacteria;";"Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22;"
"1069639";"4";"OTU3004";"None";"0.8742";"68";"0";"0";"87.5519";"87";"13861";"22573";"533";"240";"240";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Bacilli;RsaHf231;"
"1069639";"5";"OTU3005";"None";"0.995654";"78";"0";"0";"90.8333";"99";"13861";"22570";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Bacteria;""Proteobacteria"";Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Taonella;";"Bacteria;Proteobacteria;Alphaproteobacteria;Ferrovibrionales;Taonella;"
"1069639";"6";"OTU3006";"None";"0.921587";"72";"0";"0";"88.75";"92";"13861";"22573";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
"1069639";"7";"OTU3007";"None";"0.969759";"73";"0";"0";"89.5833";"96";"13861";"22570";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
"1069639";"8";"OTU3008";"None";"0";"73";"0";"0";"100";"100";"13861";"22570";"533";"240";"240";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;";"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;"
"1069639";"9";"OTU3009";"None";"0.967954";"75";"0";"0";"92.5";"96";"13861";"22570";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Bacteria;""Acidobacteria"";Acidobacteria_Gp3;unclassified_Acidobacteria_Gp3;";"Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;"
"1069639";"10";"OTU3010";"None";"0.960252";"77";"0";"0";"91.25";"96";"13861";"22570";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
"1069639";"11";"OTU3011";"None";"0.739394";"72";"0";"0";"79.2531";"73";"13861";"22567";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
"1069639";"12";"OTU3012";"None";"0.99397";"59";"0";"0";"99.1667";"99";"13861";"19494";"533";"240";"240";"none";"Eukaryota;Viridiplantae;";"Unclassified;";"Unclassified;";"Unclassified;";"Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;"
"1069639";"13";"OTU3013";"None";"0.987612";"73";"0";"0";"97.0833";"98";"13861";"22570";"533";"240";"240";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;""Proteobacteria"";Betaproteobacteria;unclassified_Betaproteobacteria;";"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;"
"1069639";"14";"OTU3014";"None";"0.886432";"73";"0";"0";"78.75";"88";"13861";"22569";"533";"240";"240";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
